THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
153,238,5,5,31,-0.07,8.31,-4.59,-0.14,0.00,-0.01,B
154,238,7,6,32,0.03,8.08,-4.19,-0.10,-0.04,0.02,B
154,238,5,7,32,0.06,8.39,-4.15,0.00,0.07,-0.04,B
153,238,3,5,31,0.11,8.28,-3.96,-0.03,0.09,-0.05,B
211,217,3,7,42,-3.65,5.78,-5.83,0.16,0.33,0.18,C
213,216,4,5,28,-3.09,5.63,-6.26,-0.00,-0.02,0.00,C
213,215,4,5,32,-3.01,5.82,-5.93,0.12,0.01,0.05,C
213,215,5,4,28,-2.96,5.58,-6.36,0.01,-0.00,0.04,C
213,215,5,6,31,-2.90,5.67,-6.17,-0.00,-0.03,-0.02,C
212,215,4,5,28,-3.80,6.03,-6.18,-0.02,0.21,0.05,C
212,215,4,4,123,-2.42,5.59,-6.18,-0.07,-0.22,0.21,C
212,217,5,5,44,-2.66,6.33,-5.49,-0.57,0.66,0.32,C
213,217,4,5,28,-2.02,7.35,-5.45,0.01,0.06,0.33,C
211,215,4,5,28,-2.25,6.71,-6.10,0.06,-0.19,-0.05,C
212,219,4,5,54,-2.35,6.20,-6.19,0.24,0.04,0.03,C
212,216,5,6,29,-2.33,5.95,-6.81,0.08,-0.11,0.08,C
213,214,4,6,29,-1.53,6.53,-5.91,0.04,0.17,0.02,C
213,215,4,5,28,-1.78,5.89,-6.72,0.12,-0.01,-0.04,C
212,212,3,7,26,-2.00,6.14,-6.39,-0.27,-0.09,0.04,C
213,211,5,6,32,-1.78,6.35,-6.21,-0.10,-0.10,-0.01,C
214,211,6,3,26,-1.97,6.31,-6.31,-0.01,-0.11,-0.05,C
213,210,5,5,29,-1.50,6.38,-6.11,-0.01,-0.00,0.02,C
213,211,4,6,26,-1.64,6.18,-6.43,-0.06,0.05,0.01,C
210,211,5,3,28,-1.69,6.13,-6.35,0.04,-0.00,-0.02,C
211,210,3,4,27,-1.72,6.24,-6.36,0.00,0.05,0.01,C
210,210,2,5,28,-1.56,6.25,-6.22,-0.03,-0.01,-0.00,C
210,210,4,5,27,-1.57,6.18,-6.41,0.04,0.04,0.00,C
210,211,4,5,27,-1.74,6.18,-6.40,-0.04,-0.04,-0.00,C
211,211,3,4,26,-1.58,6.27,-6.32,-0.02,-0.07,0.02,C
210,210,3,5,27,-1.76,6.17,-6.42,-0.03,-0.03,0.01,C
211,208,4,4,27,-1.41,6.26,-6.39,-0.00,-0.03,0.02,C
210,210,4,5,26,-1.53,6.24,-6.27,-0.02,-0.01,-0.01,C
211,211,5,4,27,-1.50,6.24,-6.26,-0.01,0.01,0.03,C
211,212,3,5,26,-1.41,6.22,-6.32,-0.04,-0.01,0.02,C
212,211,6,3,26,-1.59,6.20,-6.30,0.02,0.01,0.00,C
210,211,4,5,28,-1.59,6.22,-6.35,0.01,-0.06,-0.06,C
210,212,3,6,27,-1.35,6.21,-6.33,-0.04,-0.02,0.00,C
211,210,4,4,27,-1.45,6.14,-6.49,0.01,-0.06,0.01,C
213,211,5,5,28,-1.61,6.17,-6.50,-0.00,-0.03,0.00,C
212,210,4,4,26,-1.58,6.24,-6.38,-0.02,-0.02,0.01,C
211,212,3,5,26,-1.62,6.11,-6.46,-0.03,-0.07,0.00,C
212,211,6,6,28,-1.56,6.18,-6.42,-0.05,-0.04,0.02,C
214,211,2,5,26,-1.49,6.16,-6.43,-0.03,-0.03,0.04,C
210,213,3,7,27,-1.40,6.28,-6.28,-0.03,0.01,0.01,C
211,210,4,4,27,-1.58,6.19,-6.45,-0.02,-0.03,0.00,C
211,210,3,5,26,-1.53,6.28,-6.33,0.04,-0.03,0.04,C
212,211,5,5,25,-1.55,6.13,-6.44,0.02,-0.04,0.03,C
212,211,4,5,26,-1.53,6.16,-6.48,-0.02,-0.01,0.01,C
211,212,4,5,26,-1.61,6.15,-6.43,-0.03,-0.02,0.02,C
211,211,3,6,26,-1.45,6.14,-6.61,-0.01,-0.03,0.02,C
211,211,4,6,27,-1.46,6.13,-6.40,-0.02,-0.03,-0.01,C
213,211,4,3,26,-1.49,6.11,-6.52,0.00,0.03,-0.00,C
212,210,5,6,27,-1.59,6.22,-6.39,-0.03,-0.01,0.00,C
209,214,5,7,27,-1.48,6.11,-6.35,0.01,-0.01,0.01,C
212,212,5,6,25,-1.54,6.11,-6.50,-0.06,0.02,0.02,C
211,211,3,4,26,-1.44,6.19,-6.41,0.04,-0.02,-0.02,C
213,212,3,5,26,-1.48,6.01,-6.58,-0.04,-0.01,-0.01,C
212,210,4,4,26,-1.27,6.08,-6.45,0.00,0.00,0.01,C
211,212,5,4,26,-1.29,6.05,-6.57,-0.03,-0.01,0.01,C
211,212,3,6,26,-1.42,6.10,-6.47,-0.03,-0.05,0.01,C
212,211,3,3,26,-1.34,6.08,-6.55,-0.02,-0.03,0.01,C
212,211,4,5,26,-1.37,6.13,-6.39,-0.03,-0.00,-0.01,C
210,212,3,5,26,-1.42,6.05,-6.52,-0.02,-0.01,-0.00,C
211,212,3,4,27,-1.47,6.14,-6.34,-0.03,0.04,0.01,C
213,210,6,3,27,-1.43,6.14,-6.52,-0.02,-0.02,0.01,C
212,211,4,5,26,-1.51,6.05,-6.47,-0.01,-0.01,0.02,C
211,209,4,4,25,-1.32,6.10,-6.48,-0.03,-0.07,0.02,C
211,211,3,5,25,-1.30,6.02,-6.50,-0.00,0.01,0.00,C
211,209,3,4,25,-1.44,6.09,-6.54,-0.03,-0.00,0.02,C
211,210,3,7,24,-1.47,6.12,-6.56,-0.04,-0.03,0.01,C
212,208,4,4,25,-1.54,6.09,-6.53,-0.03,-0.01,-0.00,C
211,208,3,4,23,-1.46,6.08,-6.44,-0.04,-0.02,0.00,C
211,208,3,6,24,-1.36,6.08,-6.57,-0.03,-0.01,0.01,C
211,206,4,3,26,-1.42,6.09,-6.40,-0.01,-0.03,0.01,C
211,206,3,6,25,-1.45,6.09,-6.44,-0.03,-0.02,0.01,C
211,206,4,4,24,-1.43,6.11,-6.56,-0.01,-0.01,0.02,C
210,207,4,3,24,-1.54,6.13,-6.51,-0.03,-0.02,0.01,C
209,207,3,4,24,-1.55,6.08,-6.45,-0.03,-0.06,0.01,C
207,208,1,4,25,-1.07,6.08,-6.64,0.02,0.02,0.00,C
206,207,3,4,24,-1.45,6.05,-6.44,-0.02,-0.06,-0.00,C
207,208,5,3,26,-1.54,6.03,-6.55,-0.01,0.01,-0.01,C
208,207,3,7,25,-1.44,6.10,-6.50,0.00,-0.02,0.00,C
207,207,3,4,24,-1.43,6.07,-6.45,-0.03,-0.01,0.00,C
208,207,4,6,23,-1.37,6.13,-6.50,-0.02,-0.01,0.01,C
175,233,3,2,24,0.48,8.14,-4.38,0.03,-0.08,0.05,D
175,234,3,3,24,0.54,8.31,-4.43,0.00,-0.01,0.02,D
175,233,4,3,24,0.55,8.08,-4.47,-0.02,-0.04,0.01,D
176,233,3,4,23,0.77,8.30,-4.41,0.02,0.03,0.03,D
178,233,2,3,24,0.50,8.15,-4.40,0.00,-0.10,0.03,D
177,233,3,5,24,0.78,8.19,-4.49,-0.04,-0.13,0.10,D
177,234,3,3,24,0.58,8.13,-4.54,0.01,-0.15,0.03,D
178,232,3,4,24,0.16,8.05,-4.53,0.03,-0.23,0.11,D
177,234,3,5,24,0.32,8.06,-4.57,-0.04,-0.90,0.34,D
177,233,4,3,26,-1.17,7.68,-4.40,0.50,-0.79,0.77,D
178,232,4,3,24,0.06,7.35,-5.77,0.37,-0.79,0.61,D
178,232,2,3,24,-0.06,7.19,-5.69,0.21,-0.70,0.26,D
178,232,3,4,24,-0.93,6.94,-6.06,-0.03,0.01,-0.03,D
178,233,2,4,22,-0.53,6.89,-5.71,0.05,-0.07,0.05,D
179,233,5,3,24,-1.67,6.74,-5.37,0.13,-0.26,0.29,D
179,232,3,3,24,0.51,6.36,-6.49,0.50,0.15,0.50,D
178,232,3,4,24,0.04,6.49,-6.61,-0.05,0.04,-0.09,D
179,232,2,2,23,0.65,6.24,-6.89,-0.13,1.09,-1.03,D
179,232,3,3,24,-0.13,6.21,-6.51,-0.13,0.93,-0.91,D
179,232,2,4,24,0.66,6.36,-6.38,-0.15,0.35,-0.13,D
179,232,2,3,22,3.63,7.05,-4.77,0.02,3.72,-1.59,D
178,233,2,3,24,3.96,7.24,-4.53,-0.25,-1.00,-0.01,D
179,233,3,5,25,3.58,7.73,-4.02,-0.14,-0.20,0.07,D
179,231,2,3,24,2.29,6.28,-5.74,0.51,-0.10,-0.16,D
179,232,3,4,24,3.89,5.91,-6.76,0.23,0.07,0.16,D
179,232,2,4,22,2.91,6.92,-6.60,-0.34,-0.22,0.28,D
181,232,5,3,24,3.36,6.99,-4.96,-0.10,-0.20,-0.01,D
181,232,2,4,24,3.17,6.58,-5.36,-0.01,0.07,0.04,D
180,231,4,3,25,2.38,6.50,-6.17,0.20,-0.48,0.24,D
180,232,2,3,24,3.75,5.95,-6.48,-0.23,-0.83,0.34,D
180,232,3,3,26,2.70,6.77,-5.23,-0.26,-0.17,0.12,D
180,232,3,3,24,2.72,6.52,-5.91,0.04,-0.15,0.07,D
181,233,3,3,24,1.85,6.04,-6.22,0.13,-0.06,0.32,D
180,233,5,3,23,3.35,6.04,-6.20,0.09,-0.34,0.57,D
181,234,2,4,24,3.69,5.95,-6.58,-0.04,-0.10,0.10,D
182,233,4,3,26,3.10,6.62,-6.63,-0.22,0.29,-0.20,D
181,232,2,3,23,4.23,5.94,-6.02,-0.10,0.59,-0.35,D
181,233,4,3,25,2.98,6.20,-5.41,-0.11,0.06,-0.17,D
181,233,3,5,24,2.87,6.79,-5.83,0.00,0.04,0.16,D
181,233,3,4,24,3.29,7.17,-5.24,0.06,0.10,-0.30,D
182,233,4,3,24,2.92,6.17,-6.22,0.03,0.07,-0.31,D
182,233,2,4,25,3.27,6.11,-5.55,0.13,0.23,0.09,D
181,233,3,3,24,4.07,5.86,-5.64,0.10,-0.29,-0.12,D
182,233,4,3,24,2.77,5.49,-7.41,-0.19,-0.33,-0.03,D
197,247,2,3,20,3.46,6.85,-5.15,0.05,0.16,-0.13,D
197,247,1,2,20,2.95,6.87,-5.50,-0.05,0.02,0.02,D
197,247,3,3,20,3.38,6.96,-5.21,-0.04,-0.01,-0.02,D
196,247,3,3,19,3.39,7.03,-5.20,-0.09,0.01,0.01,D
196,248,3,2,19,3.35,7.09,-5.11,-0.05,-0.04,0.02,D
195,246,3,2,20,3.45,7.11,-5.09,-0.02,-0.01,0.03,D
195,248,3,4,19,3.44,7.09,-5.10,-0.08,-0.06,0.06,D
185,248,2,4,19,3.67,7.29,-4.79,-0.22,0.03,-0.07,D
157,247,1,2,15,3.27,7.74,-4.48,-0.19,0.13,-0.16,D
154,248,1,1,13,3.53,7.67,-4.33,-0.07,-0.01,0.04,D
163,245,2,1,16,3.35,7.55,-4.38,0.16,-0.06,0.08,D
197,243,0,1,16,3.21,7.64,-4.13,-0.23,-0.20,-0.05,D
199,243,2,2,16,3.36,7.31,-4.81,-0.07,0.23,0.07,D
198,243,2,2,16,3.77,7.66,-4.20,-0.14,0.03,-0.05,D
194,243,2,1,16,3.81,7.40,-4.69,-0.05,-0.11,0.04,D
189,242,2,2,17,3.96,7.79,-3.76,-0.19,-0.00,0.08,D
189,241,1,0,16,4.41,7.66,-4.16,0.02,0.06,0.06,D
188,241,1,3,16,3.96,7.37,-4.12,-0.07,-0.20,0.00,D
189,241,1,2,16,4.57,7.60,-4.31,0.03,-0.38,-0.02,D
189,241,1,2,16,4.15,7.64,-4.03,-0.05,-0.06,0.04,D
137,241,1,2,15,3.72,7.70,-4.61,-0.07,-0.34,0.05,D
117,242,2,2,16,4.09,7.20,-4.75,0.08,0.09,-0.08,D
122,242,1,4,15,3.90,7.59,-4.44,-0.06,-0.15,0.03,D
126,241,3,2,15,3.84,7.24,-4.69,0.01,-0.18,0.03,D
155,242,1,1,17,3.58,7.50,-4.61,-0.15,0.78,-0.16,D
156,242,1,2,17,3.56,7.59,-4.50,-0.06,0.06,0.11,D
158,243,2,3,17,3.74,7.65,-4.15,0.06,0.23,-0.03,D
159,244,2,3,18,3.57,7.55,-3.80,0.06,0.08,-0.08,D
160,243,1,3,19,3.63,7.54,-4.13,0.02,0.05,-0.02,D
158,244,2,3,18,3.70,7.61,-4.11,-0.07,-0.07,-0.01,D
161,242,2,3,20,2.96,7.49,-4.70,0.09,-0.06,-0.09,D
161,244,1,2,19,3.22,7.51,-4.77,-0.13,-0.15,-0.00,D
163,244,2,2,18,3.12,7.55,-4.57,-0.05,0.10,-0.01,D
164,244,2,2,19,3.25,7.58,-4.69,0.02,-0.01,0.02,D
163,243,3,3,18,3.06,7.47,-4.70,-0.02,-0.04,-0.02,D
163,245,2,4,19,3.19,7.52,-4.59,-0.01,-0.02,0.02,D
164,243,2,1,18,3.25,7.49,-4.70,-0.02,-0.01,-0.00,D
163,245,3,4,19,3.12,7.60,-4.58,-0.05,-0.00,-0.03,D
164,244,2,3,18,3.18,7.62,-4.62,-0.02,0.02,-0.01,D
162,245,2,2,18,3.09,7.60,-4.62,-0.01,-0.05,0.02,D
162,244,2,2,18,3.22,7.56,-4.66,-0.02,-0.04,0.02,D
